2015-06-30 17:30:54 INFO  BrowserDriver:19 - Pick Driver to use.
2015-06-30 17:31:37 INFO  ReadXL:31 - Step: Read Test Scenarios from Input XL file
2015-06-30 17:31:37 INFO  ReadXL:32 - Call to Read configuration file...
2015-06-30 17:31:37 INFO  ReadTestEnvConfiguration:24 - Reading Configuration file...
2015-06-30 17:31:37 INFO  ReadTestEnvConfiguration:56 - Reading Input file path...
2015-06-30 17:31:37 INFO  ReadTestEnvConfiguration:89 - Reading Ouput file path...
2015-06-30 17:31:37 INFO  ReadTestEnvConfiguration:66 - Reading XL Sheet name for Test Scenarios...
2015-06-30 17:31:37 INFO  ReadTestEnvConfiguration:77 - Reading XL Sheet name for Test Cases...
2015-06-30 17:31:37 INFO  ReadTestEnvConfiguration:45 - Reading release number...
2015-06-30 17:31:37 INFO  ReadXL:40 - Call to Read configuration file complete...
2015-06-30 17:31:37 INFO  ReadXL:44 - Call to Read XL file for scenarios...
2015-06-30 17:31:37 INFO  TestScenarios:45 - Reading Input XL file...
2015-06-30 17:31:37 INFO  TestScenarios:46 - Reading SheetTest_Scenarios
2015-06-30 17:31:38 INFO  TestScenarios:99 - Reading XL for required release column and Test Scenarios...
2015-06-30 17:31:38 INFO  TestScenarios:134 - Excel Read Complete...
2015-06-30 17:31:38 INFO  ReadXL:47 - Call to Read XL file for scenarios complete...
2015-06-30 17:31:38 INFO  ReadXL:52 - Call to Read XL file for Test cases...
2015-06-30 17:31:38 INFO  TestCases:32 - Filter Scenarios with Y option selected...
2015-06-30 17:31:38 INFO  TestCases:155 - Filter Scenarios with Y option selected complete...
2015-06-30 17:31:38 INFO  TestCases:35 - Reading XL Complete for Test Case...
2015-06-30 17:31:38 INFO  TestCases:96 - Reading XL Complete for Test Case complete...
2015-06-30 17:31:38 INFO  ReadXL:55 - Call Reading XL file for Test cases complete...
2015-06-30 17:31:38 INFO  RunSuite:98 - Got all executable Step IDs...
2015-06-30 17:31:38 INFO  TestSteps:35 - Reading XL for Test Case Steps for selected ID...
2015-06-30 17:31:38 INFO  TestSteps:153 - Reading XL for Test Case Steps for selected ID complete...
2015-06-30 17:31:38 INFO  RunSuite:110 - Executing Test Step S1TC1
2015-06-30 17:31:49 INFO  ActionParser:288 - Test Case S1TC1 Pass
2015-06-30 17:31:49 INFO  TestSteps:35 - Reading XL for Test Case Steps for selected ID...
2015-06-30 17:31:49 INFO  TestSteps:153 - Reading XL for Test Case Steps for selected ID complete...
2015-06-30 17:31:49 INFO  RunSuite:110 - Executing Test Step S1TC2
2015-06-30 17:31:52 INFO  ActionParser:320 - Test Case S1TC2 Fail
2015-06-30 17:31:52 INFO  TestSteps:35 - Reading XL for Test Case Steps for selected ID...
2015-06-30 17:31:52 INFO  TestSteps:153 - Reading XL for Test Case Steps for selected ID complete...
2015-06-30 17:31:52 INFO  RunSuite:110 - Executing Test Step S1TC3
2015-06-30 17:31:53 INFO  ActionParser:315 - Test Case S1TC3 Pass
2015-06-30 17:31:53 INFO  TestSteps:35 - Reading XL for Test Case Steps for selected ID...
2015-06-30 17:31:53 INFO  TestSteps:153 - Reading XL for Test Case Steps for selected ID complete...
2015-06-30 17:31:53 INFO  RunSuite:110 - Executing Test Step S2TC1
2015-06-30 17:31:53 INFO  DBConnection:26 - Step: Reading DB Connection details
2015-06-30 17:31:53 INFO  DBConnection:27 - Call to Read configuration file...
2015-06-30 17:31:53 INFO  ReadTestEnvConfiguration:24 - Reading Configuration file...
